Unnamed: 0,node,count,count_rescaled,cluster,AI_summary,cluster_name
29,에코,8,22.77777777777778,2,"에코프로 그룹주가 에코프로머티리얼즈 상장으로 터닝포인트를 마련할 수 있을지 관심이 쏠리고, 이에 대한 사외이사 선임 건도 도마에 오를 수 있다는 지적이 있습니다. 에코프로비엠 일부 임원들의 자사주 처분으로 주가가 흔들린 점도 상장심사에서 문제를 일으킬 수 있다는 언급이 있었지만, 에코프로 대표의 적극적인 대책 마련으로 상장에 걸림돌이 되지 않을 것으로 전망됩니다. 전주시의 신규 분양 아파트 청약 경쟁률이 높아지면서 청약 과열을 우려하는 상황에서, 전주 에코시티의 청약 경쟁률이 상대적으로 저렴한 분양가가 경쟁력으로 작용한 것으로 보입니다. 에코프로가 대기업집단에 합류하겠다는 의사를 밝히고 전경련에 회원사 가입 신청을 했으나, 최종 결론은 아직 나지 않았습니다.","에너지, 자동차, 철강"
33,이차전지,27,33.33333333333333,2,"증권사들이 2차전지 투자에서 빚투 우려로 인해 과열 방지 조치를 취하고 있습니다. 이에 KB증권은 이벤트를 통해 신용·대출 금리를 낮추고 위험 관리에도 돌입했습니다. NH투자증권과 한국투자증권, 신한투자증권도 대출을 막고 신용거래를 중단했으며, 대신증권은 투자에 있어 상환 능력을 고려해야 한다는 사항을 안내했습니다. 10대 증권사들은 2분기 이차전지 투자로 인한 평가 손실을 감수하고 있으나, 증시 호조로 인해 인수금융, 자산관리 등에서 성과를 내고 있습니다. 정부는 이차전지 소재 중소기업을 방문해 투자 프로젝트 상황을 점검하고, 애로 사항을 해결하기 위해 협력하고 있습니다.","에너지, 자동차, 철강"
34,자동차부품,10,23.88888888888889,2,"자동차부품 관련 이슈와 전망은 다음과 같습니다. 국내 수출에서 소비재 비중이 최대로 늘어났으며, 대미 수출은 계속해서 증가했습니다. 중국과 아세안은 소비재 수출이 감소했으나, 경기 회복에 따라 향후 수출 확대가 예상됩니다. 자동차부품의 증가세는 긍정적이나, 자동차와 미국에 대한 의존성이 높다는 우려가 있습니다. 지프는 랭글러와 글래디에이터를 위한 리프트 업 키트를 출시하여 오프로드 주행에 도움을 줄 수 있는 부품을 제공합니다. 국내 500대 기업의 2분기 영업익은 자동차와 조선 업종이 호전되었으며, IT전기전자는 전년 동기 대비 21.3조원 감소했습니다.","에너지, 자동차, 철강"
35,전기차,22,30.55555555555556,2,"테슬라가 모델Y 가격을 다시 인하했으며, 이는 경영 여건이 좋지 않다는 신호로 받아들여집니다. 그러나 한국 시장에서 추가 인하 여부는 아직 미지수입니다. KIB플러그에너지는 전기차 시장뿐만 아니라 에너지 상용 사업에도 진출할 계획이라고 밝혔습니다. SK온은 2028년까지 28만대 분량의 전기차 배터리를 국내에서 생산할 예정이며, 이는 SK온의 국내 투자 중 최대 규모입니다. 이를 위해 SK온은 설비 증설과 공정 개선 작업을 진행하여 생산능력을 갖출 예정입니다.","에너지, 자동차, 철강"
37,조선,10,23.88888888888889,2,"조달청은 공공선박 발주제도 개선방안을 발표했다. 계약금액을 비목별로 정리해 물가등락률을 산정하는 방식으로 지수조정률을 도입하고, 관 우월적 불공정 특약을 대폭 정비할 예정이다. 국내 빅3 조선사인 한국조선해양, 삼성중공업, 한화오션은 상반기 LNG 운반선을 많이 수주하여 하반기에도 흑자 전환을 기대할 수 있다. 한국은 전세계 선박 발주량의 44%를 차지하며 시장 점유율 30%를 기록했다. 이에 조선업체들은 충분한 수주잔량을 바탕으로 고부가가치 선박 위주의 선별 수주에 나서고 있다.","에너지, 자동차, 철강"
41,철강,7,22.22222222222222,2,철강업계의 재고 감소와 재고자산 회전율 증가로 철강사들의 숨통이 트이고 있습니다. 중국의 경기부양책이 본격화하면 하반기로 갈수록 철강업계 전방 산업인 건설경기 회복도 기대할 수 있습니다. 중국 현지 건축 경기가 살아나면 철근·형강 수요가 대폭 증가할 수 있습니다. 단기적으로 중국 철강업체들의 생산 감산으로 가격 안정화와 국내 철강재 수요가 늘어날 수 있습니다. 포스코가 판타스틸-신철기 시대의 서막 광고를 내보내면서 철강을 더 쉽게 이해할 수 있는 방법을 제시하고 있습니다.,"에너지, 자동차, 철강"
42,초전도체,31,35.55555555555556,2,"초전도체 관련 종목들의 시가총액이 크게 감소했으며, 2차전지 시장의 광풍이 약해지면서 수급이 다른 종목들로 분산되고 있다. 따라서 POSCO홀딩스, 포스코퓨처엠, 에코프로 등 초전도체 대표주들의 시가총액은 142조6,215억 원으로 하락한 것으로 나타났다. 이로 인해 주가가 최고치를 기록한 지난달과 비교했을 때 31조2,361억 원이 허공에 흩어진 것이다. 초전도체에 대한 의견은 부정적이지만, 일부에서는 옹호론이 나오며 초전도체 테마주에 다시 관심이 집중되고 있다. 파워로직스와 덕성은 거래재개 후 하한가로 강하하며, 초전도체 관련 종목들은 불안정한 모습을 보여주고 있다.","에너지, 자동차, 철강"
43,태풍,8,22.77777777777778,2,"태풍으로 인한 채소 가격 상승으로 배추, 무, 대파 등의 도매가격이 한 달 새로 두 배 이상 올랐습니다. 이는 지난해 태풍 힌남노의 영향으로 배추 가격이 크게 상승한 사례와 유사하며, 김치 대란이 재발할 가능성이 있습니다. 삼성전자서비스는 수해 복구를 위해 이동식 서비스센터를 설치하고 침수된 가전제품의 세척, 점검, 수리 등의 서비스를 제공합니다. LG전자도 마찬가지로 침수된 가전제품의 세척과 수리를 무상으로 지원하고, 2차 피해를 줄이기 위한 유의 사항을 고객들에게 알리고 있습니다. 이번 태풍으로 피해를 입은 지역 이외에도 LG전자는 이전에도 피해 복구 활동을 지원했으며, 기업의 사회적 책임을 다하기 위해 노력하고 있습니다.","에너지, 자동차, 철강"
46,해저,5,21.11111111111111,2,"LS전선이 해저 전문 시공 업체인 KT서브마린을 인수하여 LS마린솔루션으로 새출발하게 되었습니다. LS전선은 KTS의 지분 45.69%를 확보하여 최대주주가 되었습니다. 이를 통해 해저 시공 역량을 강화하고 해저케이블 생산부터 시공까지 아우르는 턴키 공급 역량을 갖추게 되었습니다. KTS는 LS마린솔루션으로의 사명 변경에 동의할 예정입니다. 이와 함께 KTS는 해저 전력케이블 사업과 자산 효율화 등을 통해 최대 영업이익과 순이익을 달성하였으며, 국내 해상풍력단지 건설과 송변전설비계획에 따른 송전망 구축사업에도 기회요인이 될 것으로 전망됩니다. LS마린솔루션은 LS전선과의 시너지를 통해 글로벌 해저케이블 공급 계약을 따내고 있습니다. 이러한 인수로 인해 LS마린솔루션은 해저 시공 역량을 강화하여 턴키 공급이 가능하게 되었습니다.","에너지, 자동차, 철강"
47,현대차,39,40.0,2,"현대차가 인도 GM 탈레가온 공장을 인수하여 연 100만 대 생산 체제를 구축하고 세계 3위 시장인 인도에서 점유율 1위를 도전한다. 또한 현대차와 기아가 미국 하와이주 마우이섬 대규모 산불 피해 지원을 위해 각각 15만 달러를 기부하고, 현지 전기차 라인 전환에 적극 나선다. 현재 현대차는 인도 현지 자동차 시장 2위를 차지하고 있으며, 이번 인수로 인도 내 생산 능력을 100만대로 확대할 예정이다.","에너지, 자동차, 철강"
1,LH,5,21.11111111111111,1,"원희룡 국토부 장관은 LH 전관 업체와의 용역 계약 절차를 전면 중단하라고 지시했습니다. 이에 LH는 임원들의 사퇴를 예고했으며, 계약된 업체들은 모두 LH 퇴직자들이 이직한 전관 업체였습니다. 이같은 사태에 LH는 조직 비대화로 보고체계가 작동하지 않고 책임 소재가 불분명하다는 비판을 받고 있습니다. 이한준 사장은 조직의 개편과 문화의 대대적 수술을 예고하며 LH의 서민주택공급이나 택지 및 주택건설 사업 등에 영향을 미칠 수 있다는 우려가 나왔습니다.",금융
3,건설,27,33.33333333333333,1,"건설업계는 획기적인 상품이나 서비스를 출시해 새로운 수요를 창출하고, 불황 극복에 총력을 기울이고 있습니다. 이를 위해 컨시어지 서비스 및 스마트플랫폼 앱을 통해 입주기업에 최적화된 업무환경을 제공할 예정입니다. 또한, 건설 프로젝트 중인 BIFCⅡ 스퀘어가든와 더 파크사이드 서울은 감성을 즐길 수 있는 공간과 다양한 컨시어지 서비스를 제공합니다. 건설업계는 최근 수익형 부동산 침체로 소프트웨어 부분까지 만족할 수 있는 상품개발에 고심하고 있으며, 이러한 상품들은 수요자들에게 큰 인기를 얻고 있다고 전망됩니다. 

한국토지주택공사 5개 아파트 단지의 설계와 감리 업체들은 LH 출신인 전관 업체들이 사실상 싹쓸이한 것으로 나타났습니다. 이들 단지에 참여한 전관 업체는 15곳이었으며, 이 가운데 11곳은 이전에 철근 누락이 발견된 다른 단지의 설계와 감리에도 참여한 업체들입니다. 이러한 사실로 인해 건설업계는 설계와 감리 업체의 신뢰성과 품질 관리에 대한 문제점을 인식하고 있습니다.

건설 사업 관리 전문기업 한미글로벌은 상반기 영업이익이 전년 대비 20% 이상 증가해 역대 최대 실적을 기록했습니다. 해외 법인의 매출이 크게 증가하면서 글로벌 사업 부문의 실적 향상에 기여했습니다. 특히 네옴시티 관련 사업 수주에 성공하며, 한미글로벌은 올해 상반기에도 좋은 실적을 기록했습니다. 이를 통해 한미글로벌은 건설 사업분야에서의 성공적인 전망을 가지고 있습니다.",금융
6,금융자동화기기,7,22.22222222222222,1,"농협은행은 고객의 금융 부담 완화를 위해 자동이체 수수료를 완전 면제한다. 농협은행은 고객의 체감할 수 있는 실질적인 금융지원 방안을 모색한다고 밝혔다. 한은은 자동화금고시스템을 도입하여 금고관리 업무의 효율성을 제고하며, 보안성을 높이고 안전성을 강화한다. 한은은 자동화 금고 시스템을 구축하면서 발권 업무 자동화율이 상향되었으며, 오류 발생에 대비하여 대응 시스템을 준비하고 있다.",금융
8,대출,11,24.444444444444443,1,"IBK기업은행은 마이데이터 기반 개인자산관리 서비스에 대출관리 서비스를 추가했습니다. 이 서비스는 이용자의 모든 금융기관 대출 정보를 분석하여 상환 일정과 대출 현황을 알려주고, 신용관리 방법과 대출 추천도 제공합니다. 올해 하반기에는 추가 대출 한도를 계산해주는 서비스도 제공할 예정입니다. IBK기업은행의 대출관리 서비스는 마이데이터 기반으로 이용 가능한 서비스입니다.

한국은행 대구경북본부는 지역 중소기업의 단기 운영자금 조달을 위해 추석자금을 지원합니다. 대구·경북지역 소재 금융기관이 대출한 금액의 최대 50%까지 연 2.0%의 저리로 지원되며, 대출 대상은 법무, 회계, 세무, 주점, 금융업, 부동산업, 도박업, 안마업, 신용등급 우량업체 등이 제외됩니다. 이번 조치로 중소기업의 원활한 운영이 기대됩니다.

IBK기업은행에서는 마이데이터 기반 개인자산관리 서비스인 아이원 자산관리에서 대출관리 서비스를 출시했습니다. 이 서비스는 모든 금융기관 대출 정보를 분석하여 상환일정 알림, 대출 현황 등 다양한 서비스를 제공합니다. 추가로 총부채원리금상환비율 계산기 기능도 제공할 예정입니다.

한국은행 대구경북본부는 지역 중소기업의 단기 운영자금 조달을 위해 추석자금을 지원합니다. 대출 대상은 대출금액의 최대 50%까지 연 2.0%의 저리로 지원되며, 중소기업의 원활한 운영을 기대할 수 있습니다. 단, 법무, 회계, 세무, 주점, 금융업, 부동산업, 도박업, 안마업, 신용등급 우량업체 등은 제외됩니다.

IBK기업은행은 마이데이터 기반 개인자산관리 서비스인 아이원 자산관리에서 대출관리 서비스를 출시했습니다. 이 서비스는 모든 금융기관의 대출 정보를 분석하여 상환일정 알림, 대출 현황 등 다양한 서비스를 제공하며, 추가로 총부채원리금상환비율 계산기 기능도 제공할 예정입니다. 이를 통해 대출 관리가 더욱 편리해질 것으로 기대됩니다.",금융
9,디지털 콘텐츠,6,21.666666666666668,1,"대원미디어는 상반기 매출액이 전년대비 14.5% 증가한 1727억4000만원을 발표했습니다. 닌텐도 스위치 게임과 애니메이션 영화의 흥행으로 인해 매출이 증가한 반면, 인건비와 판관비 증가로 인해 영업이익은 감소했습니다. 이랜드뮤지엄은 서울디자인재단과 업무협약을 맺고 K팝 공연 의상 전시에 방탄소년단의 공연 의상을 제공할 예정입니다. KB증권은 내돈내룰 캠페인이 ICT 어워드 코리아 2023에서 디지털 콘텐츠&마케팅 부문 통합대상을 받았습니다. KB증권은 MZ세대를 고려한 콘텐츠를 통해 투자 서비스를 제공하고 있습니다.",금융
10,매출,5,21.11111111111111,1,"휴온스글로벌은 올해 2분기 연결재무제표 기준 매출 1937억원, 영업이익 365억원을 기록했다. 비상장사인 휴온스바이오파마는 작년 2분기 대비 매출과 영업이익이 각각 48%와 130% 성장하여 매출 127억원, 영업이익 44억원을 기록했다. 휴온스바이오파마는 수출 기반 수요 증가와 원가율 개선이 결과로 나타났으며, 지속적인 수요 증가에 대비해 신규 바이오공장을 착공했다. 휠라홀딩스는 올해 2분기 영업이익이 919억원으로 전년 대비 39.70% 감소했으며, 매출액은 2.67% 증가하여 1조1470억원으로 기록했다.",금융
12,메리츠,6,21.666666666666668,1,"메리츠화재의 상반기 당기순이익과 영업이익이 큰 폭으로 증가했다. 상반기 당기순이익은 1년 전보다 25.2% 늘어난 8천390억원을 기록했고, 영업이익은 1조1천334억원으로 1년 전보다 23% 증가했다. 특히 2분기의 별도기준 당기순이익과 영업이익도 각각 25.9%, 22% 증가했다. 메리츠화재는 양질의 신계약 확보와 수익성 중심의 매출 성장, 장기 건전성 관리를 통해 이러한 결과를 얻었다고 밝혔다. 이로써 메리츠화재는 메리츠금융지주 전체에서 좋은 실적을 기록한 것으로 나타났다.",금융
13,바이오,21,30.0,1,"1. 셀트리온은 올해 2분기 매출액 5,240억 원, 영업이익 1,830억 원을 기록했습니다. 셀트리온의 주요 항체 바이오시밀러 제품군은 유럽과 미국 등 글로벌 주요 시장에서 안정적인 점유율을 유지하고 있습니다.
2. 램시마는 올해 1분기에 유럽시장에서 61.7%의 시장점유율을 기록했으며, 트룩시마는 22.1%의 시장점유율을 기록했습니다. 특히 램시마와 트룩시마는 오리지널 제품을 상회하는 견고한 점유율로 시장을 선도하고 있습니다.
3. 미국에서는 올해 1분기 기준 램시마가 30.2%, 트룩시마가 30.5%의 점유율을 달성했습니다.
4. 엘앤케이바이오메드는 올해 상반기 매출액 157억원, 영업이익 21억원, 당기순이익 20억원을 기록했습니다. 2분기에는 영업이익이 12억원으로 집계되며, 매출액은 전년 동기 대비 168% 증가한 80억원을 기록했습니다.
5. 엘앤케이바이오메드는 증자와 전환사채 상환 등을 통해 부채비율을 크게 감소시키고 있으며, 3분기말 시점에서는 70%를 하회할 것으로 예상됩니다.",금융
17,뱅크,17,27.77777777777778,1,"카카오뱅크가 매일 용돈 받기 서비스를 출시한다. 이 서비스는 카카오뱅크 앱 내에서 제휴사의 다양한 미션에 참여하면 캐시를 지급받을 수 있으며, 카카오뱅크 고객이라면 누구나 참여 가능하다. CJ제일제당과 카카오헬스케어가 업무협약을 체결하여, 식품과 플랫폼 서비스 영역에서 협력할 예정이다. 이를 통해 건강한 삶을 지속할 수 있는 환경을 조성하고 국민 건강증진에 기여할 것이다. 카카오페이증권이 주식판매금을 미리 받을 수 있는 서비스를 시작한다. 이 서비스를 이용하면 매도대금의 일부를 미리 출금할 수 있으며, 사용자가 직접 상환 과정을 거치지 않아도 자동으로 상환된다. 이를 통해 사용자들은 쉽고 건전한 투자가 가능해질 것으로 기대된다.",금융
19,보험,39,40.0,1,"묻지마 폭행에 대한 관심으로 보험사에 관련 피해 보장 상품에 대한 문의가 늘어나고 있습니다. 일부 보험사는 묻지마 흉기 사건을 마케팅 수단으로 활용하기도 했습니다. DB삼성화재와 DB손해보험은 강력범죄 피해보장 특약을 제공하여 피보험자가 강력범죄로 인한 피해에 대해 보상을 받을 수 있습니다. \n\nNH투자증권은 연금자산을 한눈에 조회할 수 있는 통합연금자산 서비스를 오픈하였습니다. 이 서비스를 통해 연금 자산의 추이와 수익률 등을 확인할 수 있으며, 다른 금융기관과 국민연금까지 모든 연금 자산을 한 번에 조회할 수 있습니다. \n\n서울시는 중소기업의 거래 안전망을 위해 매출채권보험 가입 보험료를 지원합니다. 중소기업은 매출채권에 대해 최대 80%까지 보상을 받을 수 있습니다. 가입 신청은 서울 내 신용보증기금 지점과 신용보험센터에서 가능합니다.",금융
20,부동산,42,41.66666666666667,1,"부동산 시장에서는 지난달 서울 아파트 거래 중 10%가 신고가 거래였으며, 신저가 거래는 계속 줄어들었습니다. 특히 강남 3구와 용산구에서 신고가 거래가 많았으며, 강남구 도곡동의 타워팰리스 아파트는 신고가 대비 91.7% 상승한 46억 원에 거래되었습니다. 한국부동산원에 따르면 이번 달 청약에서도 신고가 아파트인 래미안 라그란데에 대한 경쟁률이 높았습니다. 미국의 경우 상업용 부동산 거래가 인플레이션과 오피스 수요 감소로 지속적으로 위축될 것으로 예상되며, 오피스 공실의 증가로 인해 도심의 리테일 및 멀티패밀리 임대 수요에도 영향을 미칠 것으로 전망되었습니다.",금융
22,셀트리온,23,31.11111111111111,1,"셀트리온의 주가가 합병 작업에 돌입하면서 변동성이 커지고 주식매수청구권의 규모에 따라 합병 성공 여부가 갈릴 것으로 예상됩니다. 이번 합병으로 주가 변동성이 확대될 것으로 예상되며, 주식매수청구권 규모와 합병 이후 시너지에 대한 기대감이 공개될 필요가 있다고 강조했습니다. 셀트리온헬스케어는 고수익 제품의 판매 성과로 상반기 매출액 1조원을 돌파했으며, 유럽과 미국에서의 신제품 허가 신청과 협상을 통해 실적은 더욱 개선될 것으로 전망됩니다. 하나증권은 실적 추정치 조정을 반영해 셀트리온의 목표주가를 내렸지만, 투자의견은 매수를 유지했습니다. 셀트리온그룹은 미국 시장 진출에 대한 우려로 주가가 부진한 상황이지만, 공보험에서는 휴미라 시밀러가 성과를 보이고 있습니다.",금융
23,수출,7,22.22222222222222,1,"한국마사회는 상반기 매출실적이 역대 최고치를 기록하며 경마 실황 수출사업이 성장하고 있고, 현재 정기 수출국은 23개국에 이르고 있습니다. 수출 규모를 늘리기 위해 정부는 기존 수출 금융 규모에 추가로 23조 원을 지원하기로 결정했으며, 은행도 적극적으로 참여할 예정입니다. 이에 따라 해외 신시장 진출과 수출전략산업 경쟁력 강화에 투자될 예정입니다. 그러나 제조업의 어려움으로 인해 우리나라의 수출은 10개월째 부진하고 있습니다. 따라서 수출 기업들의 경쟁력 강화를 위한 정책적인 지원이 필요하다고 판단되어 정부의 금융지원이 이루어지고 있습니다.",금융
25,아파트,26,32.77777777777778,1,"아파트 관리비는 주상복합에 비해 높은 편이며, 임대아파트의 관리비가 분양아파트보다 높은 것으로 나타났다. 또한, 복도식 아파트의 관리비가 계단식 아파트보다 높은 것으로 조사되었다. 직방 앱 설문조사 결과에 따르면 올해 청약자들은 관심 단지의 분양을 가장 많이 이유로 삼고 있다. 이에 따라 규제지역과 전매제한의 완화로 인해 수요자들이 움직이고, 분양가 상승과 이자 부담의 증가로 인한 걱정도 나타났다. 최근에는 전국에서 다양한 아파트가 분양되고 있으며, 분양되는 아파트들은 교통과 교육시설 등 생활 인프라가 편리한 장소에 위치하고 있다.",금융
